Magnitude,Longitude,Latitude,
4.3,-17.412,64.5013, 8.36]
4.7,-17.3649,64.678, 5.91]
4.5,-17.4948,64.532, 6.89]
4.5,-17.3943,64.6025, 7.45]
4.8,-17.5125,64.6827, 8.38]
4.5,-17.8907,64.4971, 6.89]
4.6,-17.8876,64.5267, 7.7]
4.6,-17.6835,64.4472, 10.37]
4.9,-17.3904,64.5777, 13.47]
4.2,-18.188,64.1171, 10]
4.5,-17.1813,64.6154, 6.75]
4.6,-17.9638,64.3782, 7.24]
4.5,-17.884,64.6415, 10]
4.6,-17.1789,64.6861, 9.24]
4.2,-17.8297,64.4944, 7.13]
5.4,-17.3112,64.5545, 0.2]
4.5,-17.7948,64.5866, 7.44]
4.4,-17.9467,64.3138, 7.98]
4.4,-17.7781,64.3644, 4.34]
4.5,-17.5452,64.4979, 7.61]
4.3,-17.8137,64.3648, 6.88]
4.5,-17.5075,64.5328, 7.47]
4.5,-17.4899,64.5363, 7.1]
5.3,-17.487,64.666, 2.5]
4.6,-17.8489,64.5506, 10]
4.3,-17.7963,64.4083, 7.37]
5.4,-17.5999,64.5267, 6.09]
4.4,-17.4698,64.6464, 8.02]
4.7,-17.5914,64.3676, 9.66]
4.6,-17.8098,64.5769, 5.49]
4.4,-17.7965,64.4985, 8.66]
4.4,-17.6598,64.5241, 6.77]
4.2,-17.6306,64.5713, 6.1]
4.6,-17.1688,64.5163, 8.84]
4.5,-17.3325,64.4219, 8.37]
4.6,-17.626,64.4282, 9.08]
4.5,-17.8026,64.5205, 8.49]
4.5,-17.8743,64.5419, 7.61]
4.3,-17.1501,64.4592, 8.01]
4.8,-17.4009,64.6405, 9.26]
4.3,-17.7578,64.4191, 4.08]
4.5,-17.6169,64.5926, 8.03]
4.6,-17.671,64.5339, 10]
4.6,-17.6855,64.5371, 7.68]
4.5,-17.5383,64.5263, 7.36]
4.2,-17.8994,64.5767, 7.97]
4.4,-17.4516,64.426, 9.64]
5.2,-17.557,64.6727, 10]
4.1,-17.7869,64.6464, 8.35]
4.9,-17.5573,64.502, 5.61]
4.5,-17.709,64.4794, 6.83]
4.4,-17.6297,64.6264, 8.06]
4.4,-17.7746,64.4695, 10.79]
4.5,-17.0953,64.6419, 4.98]
4.5,-17.5992,64.5881, 7.47]
4.3,-17.4474,64.4495, 8.11]
4.5,-17.6827,64.6298, 6.98]
4.4,-17.6879,64.4911, 13.48]
4.5,-17.6592,64.5337, 5.8]
4.6,-17.7921,64.5077, 7.99]
4.4,-17.8055,64.6384, 7.91]
4.2,-17.4835,64.6346, 10]
4.4,-17.6786,64.6213, 7.66]
4.5,-17.619,64.5858, 8.88]
4.4,-17.5831,64.3844, 7.66]
4.4,-17.7396,64.5732, 7.04]
4.4,-17.2173,64.5257, 8.43]
4.4,-17.7383,64.5255, 8.03]
4.2,-17.844,64.6698, 10]
4.6,-17.4481,64.5948, 14.98]
4.3,-17.6374,64.5939, 6.37]
4.5,-17.641,64.5446, 7.17]
4.6,-17.8163,64.5136, 8.01]
4.3,-17.58,64.5034, 7.61]
4.5,-17.6967,64.5224, 7.54]
4.2,-17.9054,64.351, 8.01]
4.8,-25.7789,62.4432, 15.11]
4.4,-17.8288,64.531, 8.29]
4.4,-17.8506,64.4368, 8.21]
5.3,-17.6776,64.5968, 5.7]
4.5,-17.738,64.5184, 4.63]
4.3,-17.8829,64.6376, 10]
4.5,-17.6952,64.5536, 7.94]
4.1,-18.1663,64.4459, 10]
5.2,-17.2727,64.5389, 7.7]
4.7,-17.8188,64.5148, 9.65]
4.3,-17.8023,64.5411, 8.16]
4.6,-17.4989,64.6402, 11.04]
4.5,-17.9692,64.6165, 10]
4.3,-17.686,64.4456, 7.98]
4.3,-17.6366,64.6353, 5.82]
4.7,-17.9095,64.631, 8.08]
4.5,-17.7081,64.4683, 7.41]
4.4,-17.757,64.6362, 7.58]
4.5,-17.5814,64.4202, 6.45]
4.3,-17.7921,64.5446, 7.46]
4.2,-17.8029,64.4895, 7.96]
4.4,-17.7569,64.46, 4.26]
4.4,-17.7753,64.6479, 6.57]
4.4,-17.546,64.6099, 8.01]
