0,Magnitude,Name,Time,Last Updated,TZ,URL,Details,Felt,CDI,MMI,Alert,Status,Tsunami,SIG,Net,Code,IDS,Sources,Types,NST,DMIN,RMS,GAP,MagType,Etype,Title,Location Type,Coordinates
149,4.6,"104km WNW of Hofn, Iceland",1419079256230,1425610745040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t8pn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t8pn&format=geojson,0.0,1.0,,,reviewed,0,326,us,c000t8pn,",usc000t8pn,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.784,0.82,114.0,mb,earthquake,"M 4.6 - 104km WNW of Hofn, Iceland",Point,"[-17.184, 64.6349, 9.46]"
150,4.5,"123km S of Akureyri, Iceland",1418976768800,1425610743040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcsm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcsm&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000tcsm,",usc000tcsm,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.505,0.57,106.0,mb,earthquake,"M 4.5 - 123km S of Akureyri, Iceland",Point,"[-17.8509, 64.578, 7.94]"
151,4.3,"125km NNE of Vik, Iceland",1418960941090,1425610742040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcs6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcs6&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000tcs6,",usc000tcs6,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.534,0.64,105.0,mb,earthquake,"M 4.3 - 125km NNE of Vik, Iceland",Point,"[-17.8534, 64.4206, 7.25]"
152,4.4,"109km WNW of Hofn, Iceland",1418941102660,1425610742040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcqd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcqd&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tcqd,",usc000tcqd,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.707,0.84,132.0,mb,earthquake,"M 4.4 - 109km WNW of Hofn, Iceland",Point,"[-17.4174, 64.476, 7.87]"
153,4.5,"108km WNW of Hofn, Iceland",1418903826760,1425610741040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcpm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcpm&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000tcpm,",usc000tcpm,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.721,1.38,122.0,mb,earthquake,"M 4.5 - 108km WNW of Hofn, Iceland",Point,"[-17.3566, 64.5405, 10]"
154,5.3,"122km S of Akureyri, Iceland",1418824730390,1478814346580,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t7n7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t7n7&format=geojson,0.0,1.0,,,reviewed,0,432,us,c000t7n7,",usc000t7n7,gcmt20141217135850,",",us,gcmt,",",cap,dyfi,geoserve,moment-tensor,nearby-cities,origin,phase-data,",,1.541,0.77,44.0,mww,earthquake,"M 5.3 - 122km S of Akureyri, Iceland",Point,"[-17.7629, 64.5909, 8.17]"
155,4.4,"127km WNW of Hofn, Iceland",1418756225030,1425506107040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcmb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcmb&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tcmb,",usc000tcmb,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.543,1.14,125.0,mb,earthquake,"M 4.4 - 127km WNW of Hofn, Iceland",Point,"[-17.7839, 64.5156, 5.7]"
156,5.4,"103km WNW of Hofn, Iceland",1418635614210,1425506104040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t6v8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t6v8&format=geojson,1.0,2.9,,,reviewed,0,449,us,c000t6v8,",usc000t6v8,",",us,",",cap,dyfi,geoserve,impact-text,nearby-cities,origin,phase-data,",,1.78,1.09,40.0,mb,earthquake,"M 5.4 - 103km WNW of Hofn, Iceland",Point,"[-17.1993, 64.6066, 10]"
157,4.4,"121km NNE of Vik, Iceland",1418627330010,1425506104040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t6si,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t6si&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000t6si,",usc000t6si,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.49,0.96,129.0,mb,earthquake,"M 4.4 - 121km NNE of Vik, Iceland",Point,"[-17.969, 64.3998, 10]"
158,4.2,"126km W of Hofn, Iceland",1418530275350,1425506102040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcj3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcj3&format=geojson,0.0,1.0,,,reviewed,0,271,us,c000tcj3,",usc000tcj3,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.556,0.4,146.0,mb,earthquake,"M 4.2 - 126km W of Hofn, Iceland",Point,"[-17.7925, 64.4346, 7.31]"
159,4.4,"122km WNW of Hofn, Iceland",1418529599260,1425506102040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcjc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcjc&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tcjc,",usc000tcjc,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.588,1.01,114.0,mb,earthquake,"M 4.4 - 122km WNW of Hofn, Iceland",Point,"[-17.6839, 64.5031, 5.8]"
160,4.8,"128km S of Akureyri, Iceland",1418495511850,1425506102040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcim,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcim&format=geojson,0.0,1.0,,,reviewed,0,354,us,c000tcim,",usc000tcim,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.517,0.53,118.0,mb,earthquake,"M 4.8 - 128km S of Akureyri, Iceland",Point,"[-17.8388, 64.5328, 6.56]"
161,4.3,"109km WNW of Hofn, Iceland",1418487690310,1425506101040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcij,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcij&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000tcij,",usc000tcij,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.704,1.23,124.0,mb,earthquake,"M 4.3 - 109km WNW of Hofn, Iceland",Point,"[-17.412, 64.5013, 8.36]"
162,4.7,"114km WNW of Hofn, Iceland",1418448095150,1425506101040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t69n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t69n&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000t69n,",usc000t69n,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.702,0.68,83.0,mb,earthquake,"M 4.7 - 114km WNW of Hofn, Iceland",Point,"[-17.3649, 64.678, 5.91]"
163,4.5,"114km WNW of Hofn, Iceland",1418438062680,1425506101040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t688,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t688&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000t688,",usc000t688,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.664,0.85,106.0,mb,earthquake,"M 4.5 - 114km WNW of Hofn, Iceland",Point,"[-17.4948, 64.532, 6.89]"
164,4.5,"112km WNW of Hofn, Iceland",1418363569010,1425506099040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tch4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tch4&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000tch4,",usc000tch4,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.697,0.74,108.0,mb,earthquake,"M 4.5 - 112km WNW of Hofn, Iceland",Point,"[-17.3943, 64.6025, 7.45]"
165,4.8,"114km SSE of Akureyri, Iceland",1418344696240,1425506099040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tcgq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tcgq&format=geojson,0.0,1.0,,,reviewed,0,354,us,c000tcgq,",usc000tcgq,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.639,1.44,59.0,mb,earthquake,"M 4.8 - 114km SSE of Akureyri, Iceland",Point,"[-17.5125, 64.6827, 8.38]"
166,4.5,"132km WNW of Hofn, Iceland",1418314528000,1425506098040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t5kb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t5kb&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000t5kb,",usc000t5kb,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.501,1.1,125.0,mb,earthquake,"M 4.5 - 132km WNW of Hofn, Iceland",Point,"[-17.8907, 64.4971, 6.89]"
167,4.6,"129km S of Akureyri, Iceland",1418301624960,1425506098040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t5je,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t5je&format=geojson,0.0,1.0,,,reviewed,0,326,us,c000t5je,",usc000t5je,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.497,0.4,145.0,mb,earthquake,"M 4.6 - 129km S of Akureyri, Iceland",Point,"[-17.8876, 64.5267, 7.7]"
168,4.6,"121km WNW of Hofn, Iceland",1418241518090,1425506095040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t9rt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t9rt&format=geojson,0.0,1.0,,,reviewed,0,326,us,c000t9rt,",usc000t9rt,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.599,1.43,126.0,mb,earthquake,"M 4.6 - 121km WNW of Hofn, Iceland",Point,"[-17.6835, 64.4472, 10.37]"
169,4.9,"111km WNW of Hofn, Iceland",1418148008250,1425089776040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4vs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t4vs&format=geojson,0.0,1.0,,,reviewed,0,369,us,c000t4vs,",usc000t4vs,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.702,0.96,60.0,mb,earthquake,"M 4.9 - 111km WNW of Hofn, Iceland",Point,"[-17.3904, 64.5777, 13.47]"
170,4.2,"88km NNE of Vik, Iceland",1418119442130,1425089775040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t9pk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t9pk&format=geojson,0.0,1.0,,,reviewed,0,271,us,c000t9pk,",usc000t9pk,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.501,0.86,135.0,mb,earthquake,"M 4.2 - 88km NNE of Vik, Iceland",Point,"[-18.188, 64.1171, 10]"
171,4.5,"103km WNW of Hofn, Iceland",1418083624070,1425089774040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4pt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t4pt&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000t4pt,",usc000t4pt,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.787,0.78,76.0,mb,earthquake,"M 4.5 - 103km WNW of Hofn, Iceland",Point,"[-17.1813, 64.6154, 6.75]"
172,4.6,"118km NNE of Vik, Iceland",1418072269610,1425089774040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4mn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t4mn&format=geojson,,,,,reviewed,0,326,us,c000t4mn,",usc000t4mn,",",us,",",cap,geoserve,nearby-cities,origin,phase-data,",,1.498,1.37,156.0,mb,earthquake,"M 4.6 - 118km NNE of Vik, Iceland",Point,"[-17.9638, 64.3782, 7.24]"
173,4.5,"116km S of Akureyri, Iceland",1417965044660,1425089772040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4f5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t4f5&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000t4f5,",usc000t4f5,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.483,1.07,100.0,mb,earthquake,"M 4.5 - 116km S of Akureyri, Iceland",Point,"[-17.884, 64.6415, 10]"
174,4.6,"106km WNW of Hofn, Iceland",1417948697830,1425089772040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t4ej,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t4ej&format=geojson,0.0,1.0,,,reviewed,0,326,us,c000t4ej,",usc000t4ej,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.782,0.82,111.0,mb,earthquake,"M 4.6 - 106km WNW of Hofn, Iceland",Point,"[-17.1789, 64.6861, 9.24]"
175,4.2,"129km WNW of Hofn, Iceland",1417918542650,1425089771040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t8d8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t8d8&format=geojson,0.0,1.0,,,reviewed,0,271,us,c000t8d8,",usc000t8d8,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.528,1.02,120.0,mb,earthquake,"M 4.2 - 129km WNW of Hofn, Iceland",Point,"[-17.8297, 64.4944, 7.13]"
176,5.4,"106km WNW of Hofn, Iceland",1417813498260,1478814336135,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t455,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t455&format=geojson,0.0,1.0,,,reviewed,0,449,us,c000t455,",usc000t455,gcmt20141205210457,",",us,gcmt,",",cap,dyfi,geoserve,moment-tensor,nearby-cities,origin,phase-data,",,1.739,0.74,59.0,mww,earthquake,"M 5.4 - 106km WNW of Hofn, Iceland",Point,"[-17.3112, 64.5545, 0.2]"
177,4.5,"123km S of Akureyri, Iceland",1417748634320,1425089768040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t3ws,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t3ws&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000t3ws,",usc000t3ws,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.528,0.7,83.0,mb,earthquake,"M 4.5 - 123km S of Akureyri, Iceland",Point,"[-17.7948, 64.5866, 7.44]"
178,4.4,"112km NNE of Vik, Iceland",1417733092590,1425089768040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t7pk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t7pk&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000t7pk,",usc000t7pk,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.524,0.95,119.0,mb,earthquake,"M 4.4 - 112km NNE of Vik, Iceland",Point,"[-17.9467, 64.3138, 7.98]"
179,4.4,"121km NNE of Vik, Iceland",1417707902070,1425089767040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t7pe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t7pe&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000t7pe,",usc000t7pe,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.58,1.21,151.0,mb,earthquake,"M 4.4 - 121km NNE of Vik, Iceland",Point,"[-17.7781, 64.3644, 4.34]"
180,4.5,"116km WNW of Hofn, Iceland",1417663696340,1425089766040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t7nx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t7nx&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000t7nx,",usc000t7nx,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.648,0.8,124.0,mb,earthquake,"M 4.5 - 116km WNW of Hofn, Iceland",Point,"[-17.5452, 64.4979, 7.61]"
181,4.3,"121km NNE of Vik, Iceland",1417653150920,1425089766040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t7p8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t7p8&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000t7p8,",usc000t7p8,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.565,0.82,123.0,mb,earthquake,"M 4.3 - 121km NNE of Vik, Iceland",Point,"[-17.8137, 64.3648, 6.88]"
182,4.5,"115km WNW of Hofn, Iceland",1417578524740,1425089765040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t2dq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t2dq&format=geojson,0.0,1.0,,,reviewed,0,312,us,b000t2dq,",usb000t2dq,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.658,0.86,123.0,mb,earthquake,"M 4.5 - 115km WNW of Hofn, Iceland",Point,"[-17.5075, 64.5328, 7.47]"
183,4.5,"114km WNW of Hofn, Iceland",1417540769020,1424738116040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t7ck,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t7ck&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000t7ck,",usc000t7ck,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.665,1.18,101.0,mb,earthquake,"M 4.5 - 114km WNW of Hofn, Iceland",Point,"[-17.4899, 64.5363, 7.1]"
184,5.3,"116km SSE of Akureyri, Iceland",1417486708000,1478814332717,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t203,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t203&format=geojson,0.0,1.0,,,reviewed,0,432,us,b000t203,",usb000t203,gcmt20141202021831,",",us,gcmt,",",cap,dyfi,geoserve,moment-tensor,nearby-cities,origin,phase-data,",,,0.4,,mww,earthquake,"M 5.3 - 116km SSE of Akureyri, Iceland",Point,"[-17.487, 64.666, 2.5]"
185,4.6,"126km S of Akureyri, Iceland",1417463727910,1424738115040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t6yj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t6yj&format=geojson,0.0,1.0,,,reviewed,0,326,us,c000t6yj,",usc000t6yj,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.51,0.95,144.0,mb,earthquake,"M 4.6 - 126km S of Akureyri, Iceland",Point,"[-17.8489, 64.5506, 10]"
186,4.3,"125km NNE of Vik, Iceland",1417444160970,1424738115040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t6yx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t6yx&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000t6yx,",usc000t6yx,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.561,1.18,112.0,mb,earthquake,"M 4.3 - 125km NNE of Vik, Iceland",Point,"[-17.7963, 64.4083, 7.37]"
187,5.4,"119km WNW of Hofn, Iceland",1417438355060,1478814331004,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t1iw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t1iw&format=geojson,0.0,1.0,,,reviewed,0,449,us,b000t1iw,",usb000t1iw,gcmt20141201125236,",",us,gcmt,",",cap,dyfi,geoserve,moment-tensor,nearby-cities,origin,phase-data,",,1.62,1.42,61.0,mww,earthquake,"M 5.4 - 119km WNW of Hofn, Iceland",Point,"[-17.5999, 64.5267, 6.09]"
188,4.4,"117km WNW of Hofn, Iceland",1417411514950,1424738114040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t1hd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t1hd&format=geojson,0.0,1.0,,,reviewed,0,298,us,b000t1hd,",usb000t1hd,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.66,1.05,114.0,mb,earthquake,"M 4.4 - 117km WNW of Hofn, Iceland",Point,"[-17.4698, 64.6464, 8.02]"
189,4.7,"116km W of Hofn, Iceland",1417372932230,1424738114040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t1fk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t1fk&format=geojson,0.0,1.0,,,reviewed,0,340,us,b000t1fk,",usb000t1fk,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.657,0.8,147.0,mb,earthquake,"M 4.7 - 116km W of Hofn, Iceland",Point,"[-17.5914, 64.3676, 9.66]"
190,4.6,"124km S of Akureyri, Iceland",1417335094870,1424738113040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t1cm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t1cm&format=geojson,0.0,1.0,,,reviewed,0,326,us,b000t1cm,",usb000t1cm,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.522,0.99,99.0,mb,earthquake,"M 4.6 - 124km S of Akureyri, Iceland",Point,"[-17.8098, 64.5769, 5.49]"
191,4.4,"127km WNW of Hofn, Iceland",1417321002110,1424738113040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t1bl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t1bl&format=geojson,0.0,1.0,,,reviewed,0,298,us,b000t1bl,",usb000t1bl,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.541,0.73,82.0,mb,earthquake,"M 4.4 - 127km WNW of Hofn, Iceland",Point,"[-17.7965, 64.4985, 8.66]"
192,4.4,"122km WNW of Hofn, Iceland",1417319913360,1424738113040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t1bj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t1bj&format=geojson,0.0,1.0,,,reviewed,0,298,us,b000t1bj,",usb000t1bj,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.595,0.72,104.0,mb,earthquake,"M 4.4 - 122km WNW of Hofn, Iceland",Point,"[-17.6598, 64.5241, 6.77]"
193,4.2,"122km WNW of Hofn, Iceland",1417295789450,1424738112040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t19g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t19g&format=geojson,0.0,1.0,,,reviewed,0,271,us,b000t19g,",usb000t19g,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.6,0.86,142.0,mb,earthquake,"M 4.2 - 122km WNW of Hofn, Iceland",Point,"[-17.6306, 64.5713, 6.1]"
194,4.6,"99km WNW of Hofn, Iceland",1417259970240,1424738111040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t15f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t15f&format=geojson,0.0,1.0,,,reviewed,0,326,us,b000t15f,",usb000t15f,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,11.551,0.57,105.0,mb,earthquake,"M 4.6 - 99km WNW of Hofn, Iceland",Point,"[-17.1688, 64.5163, 8.84]"
195,4.5,"104km WNW of Hofn, Iceland",1417225913910,1424738110040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t124,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t124&format=geojson,0.0,1.0,,,reviewed,0,312,us,b000t124,",usb000t124,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.754,0.84,82.0,mb,earthquake,"M 4.5 - 104km WNW of Hofn, Iceland",Point,"[-17.3325, 64.4219, 8.37]"
196,4.6,"118km W of Hofn, Iceland",1417217138690,1424738110040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t5zq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t5zq&format=geojson,0.0,1.0,,,reviewed,0,326,us,c000t5zq,",usc000t5zq,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.628,1.12,62.0,mb,earthquake,"M 4.6 - 118km W of Hofn, Iceland",Point,"[-17.626, 64.4282, 9.08]"
197,4.5,"128km WNW of Hofn, Iceland",1417215164470,1424738110040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t11k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t11k&format=geojson,0.0,1.0,,,reviewed,0,312,us,b000t11k,",usb000t11k,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.534,0.9,73.0,mb,earthquake,"M 4.5 - 128km WNW of Hofn, Iceland",Point,"[-17.8026, 64.5205, 8.49]"
198,4.5,"127km S of Akureyri, Iceland",1417202018030,1424738110040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t5za,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t5za&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000t5za,",usc000t5za,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.5,1.02,126.0,mb,earthquake,"M 4.5 - 127km S of Akureyri, Iceland",Point,"[-17.8743, 64.5419, 7.61]"
199,4.3,"96km WNW of Hofn, Iceland",1417179818660,1424738109040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t5xs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t5xs&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000t5xs,",usc000t5xs,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.824,1.24,145.0,mb,earthquake,"M 4.3 - 96km WNW of Hofn, Iceland",Point,"[-17.1501, 64.4592, 8.01]"
200,4.8,"114km WNW of Hofn, Iceland",1417155240350,1424738109040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t0tz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t0tz&format=geojson,0.0,1.0,,,reviewed,0,354,us,b000t0tz,",usb000t0tz,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.69,1.0,83.0,mb,earthquake,"M 4.8 - 114km WNW of Hofn, Iceland",Point,"[-17.4009, 64.6405, 9.26]"
201,4.3,"124km W of Hofn, Iceland",1417075588810,1424738107040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t5ks,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000t5ks&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000t5ks,",usc000t5ks,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.575,0.57,112.0,mb,earthquake,"M 4.3 - 124km W of Hofn, Iceland",Point,"[-17.7578, 64.4191, 4.08]"
202,4.5,"122km WNW of Hofn, Iceland",1417048513790,1424738107040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000t0hu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000t0hu&format=geojson,0.0,1.0,,,reviewed,0,312,us,b000t0hu,",usb000t0hu,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.603,0.53,108.0,mb,earthquake,"M 4.5 - 122km WNW of Hofn, Iceland",Point,"[-17.6169, 64.5926, 8.03]"
