0,Magnitude,Name,Time,Last Updated,TZ,URL,Details,Felt,CDI,MMI,Alert,Status,Tsunami,SIG,Net,Code,IDS,Sources,Types,NST,DMIN,RMS,GAP,MagType,Etype,Title,Location Type,Coordinates
71,4.5,"13km SW of Keflavik, Iceland",1433992108960,1440031433040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/us10002l5y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us10002l5y&format=geojson,,,,,reviewed,0,312,us,10002l5y,",us10002l5y,",",us,",",geoserve,nearby-cities,origin,phase-data,",,1.042,1.27,70.0,mb,earthquake,"M 4.5 - 13km SW of Keflavik, Iceland",Point,"[-22.7669, 63.9175, 10.48]"
72,4.3,"119km WNW of Hofn, Iceland",1424309172040,1431462572040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tsqg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tsqg&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000tsqg,",usc000tsqg,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.613,0.74,107.0,mb,earthquake,"M 4.3 - 119km WNW of Hofn, Iceland",Point,"[-17.6296, 64.4954, 8.1]"
73,4.6,"100km WNW of Hofn, Iceland",1423862576230,1431386412040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000tp7m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000tp7m&format=geojson,0.0,1.0,,,reviewed,0,326,us,b000tp7m,",usb000tp7m,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,6.117,0.78,106.0,mb,earthquake,"M 4.6 - 100km WNW of Hofn, Iceland",Point,"[-17.0423, 64.6857, 5.85]"
74,4.6,"121km WNW of Hofn, Iceland",1423538336660,1430779672040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/us10000a0b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us10000a0b&format=geojson,0.0,1.0,,,reviewed,0,326,us,10000a0b,",us10000a0b,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.604,0.31,83.0,mb,earthquake,"M 4.6 - 121km WNW of Hofn, Iceland",Point,"[-17.6288, 64.5473, 8.6]"
75,4.7,"120km S of Akureyri, Iceland",1423194491940,1430779662040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tmm7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tmm7&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000tmm7,",usc000tmm7,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.561,0.92,76.0,mb,earthquake,"M 4.7 - 120km S of Akureyri, Iceland",Point,"[-17.7092, 64.6159, 7.16]"
76,4.6,"127km S of Akureyri, Iceland",1423105993530,1430779660040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000tnk2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000tnk2&format=geojson,0.0,1.0,,,reviewed,0,326,us,b000tnk2,",usb000tnk2,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.544,0.62,114.0,mb,earthquake,"M 4.6 - 127km S of Akureyri, Iceland",Point,"[-17.7707, 64.5443, 7.98]"
77,4.3,"103km NNE of Vik, Iceland",1422912873140,1430575552040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tnqb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tnqb&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000tnqb,",usc000tnqb,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.536,1.33,158.0,mb,earthquake,"M 4.3 - 103km NNE of Vik, Iceland",Point,"[-17.993, 64.2238, 10]"
78,4.4,"130km S of Akureyri, Iceland",1422778735410,1430575551040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tnd6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tnd6&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tnd6,",usc000tnd6,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.499,0.58,132.0,mb,earthquake,"M 4.4 - 130km S of Akureyri, Iceland",Point,"[-17.888, 64.5182, 7.93]"
79,4.1,"124km WNW of Hofn, Iceland",1422641762360,1430575551040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tmhf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tmhf&format=geojson,0.0,1.0,,,reviewed,0,259,us,c000tmhf,",usc000tmhf,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.581,0.84,143.0,mb,earthquake,"M 4.1 - 124km WNW of Hofn, Iceland",Point,"[-17.6757, 64.571, 8.26]"
80,4.4,"121km W of Hofn, Iceland",1422567920160,1430575551040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tmga,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tmga&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tmga,",usc000tmga,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.612,0.82,109.0,mb,earthquake,"M 4.4 - 121km W of Hofn, Iceland",Point,"[-17.7048, 64.3609, 6.44]"
81,4.3,"119km WNW of Hofn, Iceland",1422566536780,1430575551040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tk74,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tk74&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000tk74,",usc000tk74,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.626,1.02,108.0,mb,earthquake,"M 4.3 - 119km WNW of Hofn, Iceland",Point,"[-17.56, 64.6038, 7.19]"
82,4.5,"107km NNE of Vik, Iceland",1422566324720,1430575551040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tmgm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tmgm&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000tmgm,",usc000tmgm,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.62,0.86,141.0,mb,earthquake,"M 4.5 - 107km NNE of Vik, Iceland",Point,"[-17.7979, 64.2117, 8.19]"
83,4.4,"127km NNE of Vik, Iceland",1422300280110,1429894569040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tlat,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tlat&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tlat,",usc000tlat,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.48,0.92,149.0,mb,earthquake,"M 4.4 - 127km NNE of Vik, Iceland",Point,"[-17.959, 64.4586, 10]"
84,4.4,"125km WNW of Hofn, Iceland",1422210439480,1429894532040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tiyh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tiyh&format=geojson,,,,,reviewed,0,298,us,c000tiyh,",usc000tiyh,",",us,",",cap,geoserve,nearby-cities,origin,phase-data,",,1.56,1.4,162.0,mb,earthquake,"M 4.4 - 125km WNW of Hofn, Iceland",Point,"[-17.7484, 64.5044, 8.12]"
85,4.6,"116km SSE of Akureyri, Iceland",1422084347000,1429894518040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tish,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tish&format=geojson,0.0,1.0,,,reviewed,0,326,us,c000tish,",usc000tish,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,,0.92,,mb,earthquake,"M 4.6 - 116km SSE of Akureyri, Iceland",Point,"[-17.46, 64.67, 1.1]"
86,4.4,"121km S of Akureyri, Iceland",1422036425510,1429894555040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tkyg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tkyg&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tkyg,",usc000tkyg,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.586,0.94,125.0,mb,earthquake,"M 4.4 - 121km S of Akureyri, Iceland",Point,"[-17.6509, 64.6122, 12.04]"
87,4.6,"117km SSE of Akureyri, Iceland",1421982423020,1429894508040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tihd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tihd&format=geojson,0.0,1.0,,,reviewed,0,326,us,c000tihd,",usc000tihd,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.638,0.67,94.0,mb,earthquake,"M 4.6 - 117km SSE of Akureyri, Iceland",Point,"[-17.5206, 64.6538, 6.63]"
88,4.4,"121km WNW of Hofn, Iceland",1421885019120,1429894548040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tkd5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tkd5&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tkd5,",usc000tkd5,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.599,0.61,114.0,mb,earthquake,"M 4.4 - 121km WNW of Hofn, Iceland",Point,"[-17.6449, 64.5352, 7.46]"
89,4.5,"126km WNW of Hofn, Iceland",1421868076650,1429545939040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000thwb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000thwb&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000thwb,",usc000thwb,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.571,1.25,146.0,mb,earthquake,"M 4.5 - 126km WNW of Hofn, Iceland",Point,"[-17.7247, 64.5034, 8.12]"
90,4.3,"125km NNE of Vik, Iceland",1421768686200,1429545937040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000thh5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000thh5&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000thh5,",usc000thh5,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.508,1.27,114.0,mb,earthquake,"M 4.3 - 125km NNE of Vik, Iceland",Point,"[-17.9079, 64.4309, 7.96]"
91,4.3,"124km W of Hofn, Iceland",1421755077080,1429545937040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tk3p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tk3p&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000tk3p,",usc000tk3p,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.578,0.63,149.0,mb,earthquake,"M 4.3 - 124km W of Hofn, Iceland",Point,"[-17.7489, 64.4182, 7.89]"
92,4.3,"125km NNE of Vik, Iceland",1421752978190,1429545937040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000thg3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000thg3&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000thg3,",usc000thg3,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.509,1.34,149.0,mb,earthquake,"M 4.3 - 125km NNE of Vik, Iceland",Point,"[-17.9078, 64.4304, 10]"
93,4.7,"110km WNW of Hofn, Iceland",1421749947120,1429545937040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000they,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000they&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000they,",usc000they,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.7,1.02,62.0,mb,earthquake,"M 4.7 - 110km WNW of Hofn, Iceland",Point,"[-17.4205, 64.5031, 12.54]"
94,4.3,"113km W of Hofn, Iceland",1421747158240,1429545936040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tk3l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tk3l&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000tk3l,",usc000tk3l,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.668,0.94,149.0,mb,earthquake,"M 4.3 - 113km W of Hofn, Iceland",Point,"[-17.5287, 64.4333, 7.44]"
95,4.7,"125km WNW of Hofn, Iceland",1421620072500,1429545934040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000th0t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000th0t&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000th0t,",usc000th0t,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.559,0.46,123.0,mb,earthquake,"M 4.7 - 125km WNW of Hofn, Iceland",Point,"[-17.75, 64.5082, 8.96]"
96,4.7,"112km WNW of Hofn, Iceland",1421566552290,1429545933040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tgx3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tgx3&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000tgx3,",usc000tgx3,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,6.063,0.72,69.0,mb,earthquake,"M 4.7 - 112km WNW of Hofn, Iceland",Point,"[-17.2895, 64.7117, 7.35]"
97,4.7,"108km WNW of Hofn, Iceland",1421429902080,1429544092040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tghi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tghi&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000tghi,",usc000tghi,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.732,0.76,96.0,mb,earthquake,"M 4.7 - 108km WNW of Hofn, Iceland",Point,"[-17.3089, 64.6132, 8.36]"
98,4.3,"119km WNW of Hofn, Iceland",1421312237350,1429544083040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tj3z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tj3z&format=geojson,,,,,reviewed,0,284,us,c000tj3z,",usc000tj3z,",",us,",",geoserve,nearby-cities,origin,phase-data,",,1.622,0.99,162.0,mb,earthquake,"M 4.3 - 119km WNW of Hofn, Iceland",Point,"[-17.5978, 64.5193, 7.2]"
99,4.4,"113km WNW of Hofn, Iceland",1421305920850,1429544082040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tj4g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tj4g&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tj4g,",usc000tj4g,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.688,0.66,158.0,mb,earthquake,"M 4.4 - 113km WNW of Hofn, Iceland",Point,"[-17.4151, 64.6046, 7.14]"
100,4.5,"111km WNW of Hofn, Iceland",1421305827000,1429544082040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tfye,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tfye&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000tfye,",usc000tfye,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,,1.18,,mb,earthquake,"M 4.5 - 111km WNW of Hofn, Iceland",Point,"[-17.38, 64.61, 1.1]"
101,4.7,"109km WNW of Hofn, Iceland",1421171520700,1428692192040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tfag,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tfag&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000tfag,",usc000tfag,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.743,1.4,100.0,mb,earthquake,"M 4.7 - 109km WNW of Hofn, Iceland",Point,"[-17.271, 64.6792, 8.95]"
102,4.4,"126km NNE of Vik, Iceland",1421161246580,1428692192040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tf7c,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tf7c&format=geojson,0.0,1.0,,,reviewed,0,298,us,c000tf7c,",usc000tf7c,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.503,1.46,106.0,mb,earthquake,"M 4.4 - 126km NNE of Vik, Iceland",Point,"[-17.9127, 64.4444, 10]"
103,4.5,"122km S of Akureyri, Iceland",1421087426500,1428692190040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000teve,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000teve&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000teve,",usc000teve,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.522,1.01,111.0,mb,earthquake,"M 4.5 - 122km S of Akureyri, Iceland",Point,"[-17.8055, 64.59, 8.91]"
104,4.5,"128km W of Hofn, Iceland",1421022164120,1428692189040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000teqf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000teqf&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000teqf,",usc000teqf,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.537,1.28,91.0,mb,earthquake,"M 4.5 - 128km W of Hofn, Iceland",Point,"[-17.8284, 64.4533, 8.19]"
105,4.7,"114km WNW of Hofn, Iceland",1421021884690,1428692197040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tilg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tilg&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000tilg,",usc000tilg,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.659,1.21,109.0,mb,earthquake,"M 4.7 - 114km WNW of Hofn, Iceland",Point,"[-17.5386, 64.4568, 6.95]"
106,4.5,"111km SSE of Akureyri, Iceland",1420954057220,1428692189040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tem8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tem8&format=geojson,0.0,1.0,,,reviewed,0,312,us,c000tem8,",usc000tem8,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.696,0.59,145.0,mb,earthquake,"M 4.5 - 111km SSE of Akureyri, Iceland",Point,"[-17.3729, 64.7278, 6.99]"
107,4.7,"112km WNW of Hofn, Iceland",1420914221150,1428692189040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000teix,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000teix&format=geojson,0.0,1.0,,,reviewed,0,340,us,c000teix,",usc000teix,",",us,",",cap,dyfi,geoserve,nearby-cities,origin,phase-data,",,1.684,0.58,99.0,mb,earthquake,"M 4.7 - 112km WNW of Hofn, Iceland",Point,"[-17.4362, 64.5642, 8.14]"
108,4.3,"118km W of Hofn, Iceland",1420906379000,1428692195040,0.0,https://earthquake.usgs.gov/earthquakes/eventpage/usc000ti9a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000ti9a&format=geojson,0.0,1.0,,,reviewed,0,284,us,c000ti9a,",usc000ti9a,",",us,",",dyfi,geoserve,nearby-cities,origin,phase-data,",,1.645,1.33,150.0,mb,earthquake,"M 4.3 - 118km W of Hofn, Iceland",Point,"[-17.6445, 64.3318, 10]"
